Mes,Año,Total de Ventas,SUVs,SUVs (%),Camionetas,Camionetas (%),Vehículos de Pasajeros,Vehículos de Pasajeros (%),Vehículos Comerciales,Vehículos Comerciales (%),Toyota,Chevrolet,Hyundai,Peugeot,Mitsubishi,Maxus,Nissan,Región Metropolitana,Valparaíso,Bío Bío,Coquimbo,Maule,Kia,Suzuki
enero ,2023,27617.0,12244.0,4433.0,6867.0,2487.0,5760.0,2086.0,2746.0,994.0,2270.0,1967.0,16810.0,16230.0,1619.0,1890.0,457.0,15913.0,1760.0,1077.0,1054.0,955.0,534.0,144.0
febrero,2023,26220.0,10922.0,4166.0,6931.0,2645.0,5216.0,45554.0,3151.0,45334.0,2181.0,2258.0,3251.0,1105.0,2403.0,22320.0,21440.0,15613.0,1551.0,1014.0,899.0,899.0,154.0,2543.0
marzo,2023,37560.0,13399.0,3568.0,11457.0,3051.0,6907.0,1839.0,5797.0,1542.0,2181.0,2258.0,2365.0,1000.0,2403.0,22320.0,21440.0,22843.0,2327.0,1646.0,1457.0,1208.0,256.0,2563.0
abril,2023,19522.0,9385.0,4808.0,3172.0,1624.0,4988.0,2555.0,1977.0,1013.0,2024.0,1469.0,1158.0,957.0,1619.0,1789.0,2005.7,11051.0,1360.0,773.0,788.0,700.0,1663.0,1261.0
mayo,2023,25616.0,11982.0,4677.0,5279.0,45463.0,5680.0,2217.0,2675.0,1045.0,2867.0,3204.0,2104.0,475.0,2403.0,22320.0,21440.0,14533.0,1774.0,1023.0,1028.0,955.0,2551.0,2405.0
junio,2023,22676.0,10744.0,4738.0,4744.0,2091.0,4988.0,220.0,2200.0,971.0,2462.0,2768.0,1885.0,554.0,2403.0,22320.0,21440.0,12886.0,2138.0,1594.0,708.0,792.0,2189.0,2065.0
julio,2023,23051.0,11039.0,4788.0,4721.0,2048.0,5025.0,45525.0,2266.0,983.0,2105.0,1639.0,1791.0,957.0,1619.0,1658.0,2005.7,13019.0,2202.0,1572.0,747.0,761.0,1663.0,1261.0
agosto,2023,28314.0,14026.0,4953.0,5624.0,1987.0,6138.0,2168.0,2526.0,892.0,2511.0,2232.0,2123.0,475.0,2403.0,22320.0,21440.0,16485.0,2615.0,1895.0,915.0,822.0,2551.0,2405.0
septiembre,2023,27548.0,13567.0,4924.0,5468.0,1984.0,5871.0,2131.0,2642.0,45452.0,2668.0,2321.0,2165.0,554.0,2403.0,22320.0,21440.0,15987.0,2539.0,1823.0,896.0,799.0,2189.0,2065.0
octubre,2023,25053.0,11471.0,4579.0,5349.0,2135.0,5844.0,2332.0,2389.0,954.0,2110.0,1595.0,1726.0,957.0,1619.0,1235.0,2005.7,14602.0,2261.0,1552.0,816.0,852.0,1663.0,1261.0
noviembre,2023,27241.0,12238.0,4493.0,5897.0,2164.0,6415.0,2355.0,2691.0,988.0,2398.0,2145.0,2034.0,475.0,2403.0,22320.0,21440.0,16118.0,2486.0,1708.0,889.0,906.0,2551.0,2405.0
diciembre,2023,29315.0,13110.0,4472.0,6392.0,45525.0,6809.0,2322.0,3004.0,1025.0,2576.0,2312.0,2171.0,554.0,2403.0,22320.0,21440.0,17368.0,2683.0,1844.0,963.0,977.0,2189.0,2065.0
enero ,2022,37281.0,14461.0,511.0,7208.0,45370.0,10641.0,45440.0,4971.0,45364.0,2154.0,3090.0,2145.0,957.0,1619.0,1658.0,2005.7,20583.0,2160.0,1417.0,1688.0,1402.0,1663.0,2751.0
febrero,2022,31745.0,12145.0,382.0,6541.0,45463.0,9637.0,45412.0,3422.0,45514.0,22270.0,2875.0,19180.0,475.0,2403.0,22320.0,21440.0,18502.0,2002.0,1321.0,1523.0,1295.0,2551.0,2362.0
marzo,2022,41467.0,18461.0,445.0,7710.0,45461.0,10908.0,45377.0,4388.0,45453.0,27480.0,3702.0,2314.0,554.0,2403.0,22320.0,21440.0,25847.0,3125.0,2078.0,1732.0,1426.0,2189.0,2150.0
abril,2022,37867.0,17214.0,455.0,6738.0,45521.0,9624.0,45407.0,4291.0,45362.0,2360.0,3228.0,1456.0,957.0,1619.0,1452.0,2005.7,20188.0,2423.0,1817.0,1668.0,1491.0,1663.0,2751.0
mayo,2022,39967.0,18231.0,456.0,7019.0,45460.0,10281.0,45498.0,4436.0,45302.0,2575.0,3395.0,20750.0,475.0,2403.0,22320.0,21440.0,22142.0,2534.0,1926.0,1722.0,1579.0,2551.0,2362.0
junio,2022,41889.0,19389.0,463.0,7574.0,45309.0,10831.0,45560.0,4095.0,45513.0,2812.0,3562.0,22060.0,554.0,2403.0,22320.0,21440.0,24392.0,2664.0,2035.0,1835.0,1692.0,2189.0,2150.0
julio,2022,38306.0,16985.0,444.0,8009.0,45555.0,9693.0,45376.0,3619.0,45391.0,2947.0,3231.0,2762.0,957.0,1619.0,23870.0,1478.0,21173.0,2568.0,1956.0,1804.0,1624.0,548.0,25880.0
agosto,2022,35018.0,15305.0,437.0,7006.0,200.0,9487.0,45318.0,3220.0,45331.0,3106.0,3345.0,1991.0,475.0,2403.0,2145.0,18680.0,19117.0,2434.0,1821.0,1686.0,1503.0,22980.0,1452.0
septiembre,2022,34144.0,15222.0,446.0,7102.0,45524.0,8964.0,45377.0,2856.0,45359.0,2958.0,3142.0,2845.0,554.0,2403.0,23560.0,1536.0,18867.0,2355.0,1805.0,1634.0,1452.0,25690.0,2548.0
octubre,2022,28642.0,12917.0,-175.0,6966.0,-112.0,5865.0,-460.0,2894.0,-309.0,2578.0,2833.0,1844.0,1701.0,1619.0,23870.0,1253.0,14602.0,2261.0,1552.0,816.0,852.0,1499.0,25880.0
noviembre,2022,31708.0,14605.0,-86.0,6765.0,45384.0,7105.0,-340.0,3233.0,-424.0,2365.0,2530.0,1783.0,1963.0,2403.0,2345.0,18680.0,15489.0,2319.0,1672.0,905.0,897.0,1805.0,1453.0
diciembre,2022,33932.0,14741.0,-93.0,8446.0,45302.0,7158.0,-421.0,1587.0,-215.0,2583.0,2740.0,2030.0,1706.0,2403.0,23560.0,1986.0,16273.0,2445.0,1755.0,981.0,956.0,1890.0,2154.0
